id,title,brands,description,uri,first_image_uri,originalPrice,price,colors,categories
B171012715501,壓縮毛巾 一次性毛巾 浴巾 壓縮浴巾 加大加厚 一次性浴巾 洗臉巾 拋棄式毛巾 旅行壓縮毛巾 毛巾,[],,https://online.carrefour.com.tw/affiliate/B171012715501,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/50980296/150189/2-1.png,5.0,2.0,[],[日用生活 > 衛浴用品 > 衛浴設備]
B048010221201,WIN 五金 鍍鋅鐵製 日式 1/8=3mm 鋼索夾 固定夾 螺絲夾 鋼索固定夾 逼猴 固定夾 緊線夾 鋼絲夾 鋼索夾緊,[WIN 五金],,https://online.carrefour.com.tw/affiliate/B048010221201,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4018855383_45918825510910_1.jpg,5.0,5.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010180901,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010180901,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010180501,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010180501,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010180001,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010180001,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010227001,WIM五金 台灣品牌WIN 40-1R 單排全目(CL)鏈目 機械鍊條 滾珠鍊條 滾針鍊條 滾子鍊條,[WIN],,https://online.carrefour.com.tw/affiliate/B048010227001,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4379290287_45918825509125_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010181301,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010181301,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010220801,WIN 五金 鍍鋅鐵製 日式  3/16=5mm 鋼索夾 固定夾 螺絲夾 鋼索固定夾 逼猴 固定夾 緊線夾 鋼絲夾 鋼索夾緊,[WIN 五金],,https://online.carrefour.com.tw/affiliate/B048010220801,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4018855383_45918825510910_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010226901,WIM五金 台灣品牌WIN 25-1R 單排全目(CL)鏈目 機械鍊條 滾珠鍊條 滾針鍊條 滾子鍊條,[WIN],,https://online.carrefour.com.tw/affiliate/B048010226901,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4379290287_45918825509125_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010181701,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010181701,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,6.0,6.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010227301,WIM五金 台灣品牌WIN  35-1R  單排全目(CL)鏈目 機械鍊條 滾珠鍊條 滾針鍊條 滾子鍊條,[WIN],,https://online.carrefour.com.tw/affiliate/B048010227301,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4379290287_45918825509125_1.jpg,7.0,7.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B042007502401,白膠 15g 樹脂 DIY 美勞 美術 勞作 白膠瓶 美勞膠水 無毒 膠水,[],,https://online.carrefour.com.tw/affiliate/B042007502401,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/13723444/4747920614_41309561362189_1.jpg,7.0,7.0,[],[日用生活 > 居家修繕 > 五金材料 > 門鎖]
B240013103001,SKB  【0.7mm】秘書型原子筆 SB-202*紅,[SKB],,https://online.carrefour.com.tw/affiliate/B240013103001,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/70443921/22069453787_49805025776173_1.jpg,7.0,7.0,[],[休閒娛樂 > 辦公用品．文具．節慶飾品 > 文具用品]
B240013102901,SKB  【0.7mm】秘書型原子筆 SB-202*黑,[SKB],,https://online.carrefour.com.tw/affiliate/B240013102901,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/70443921/22069453787_49805025776173_1.jpg,7.0,7.0,[],[休閒娛樂 > 辦公用品．文具．節慶飾品 > 文具用品]
B240013102801,SKB  【0.7mm】秘書型原子筆 SB-202*藍,[SKB],,https://online.carrefour.com.tw/affiliate/B240013102801,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/70443921/22069453787_49805025776173_1.jpg,7.0,7.0,[],[休閒娛樂 > 辦公用品．文具．節慶飾品 > 文具用品]
B243009996501,【四維】鹿頭牌 OPP迷你透明膠帶 12mm X 10M / 捲 PP3K,[鹿頭牌],,https://online.carrefour.com.tw/affiliate/B243009996501,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/70473585/62-11793783.png,8.0,6.0,[],[休閒娛樂 > 辦公用品．文具．節慶飾品 > 膠帶]
B240013106501,SKB 【0.5mm】原子筆 SB-2000黑,[SKB],,https://online.carrefour.com.tw/affiliate/B240013106501,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/70443921/22543954471_49805025774973_1.jpg,8.0,8.0,[],[休閒娛樂 > 辦公用品．文具．節慶飾品 > 文具用品]
B048010181501,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010181501,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,8.0,8.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
3124000200101,【免洗餐具】自然風餐巾紙,[自然風],,https://online.carrefour.com.tw/affiliate/3124000200101,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/large/3124000200101_NR_00.jpg,8.0,8.0,[],[休閒娛樂 > BBQ烤肉器具 > 免洗餐具 > 其它免洗餐具]
B048010220701,WIN 五金 鍍鋅鐵製 日式 1/4=6mm 鋼索夾 固定夾 螺絲夾 鋼索固定夾 逼猴 固定夾 緊線夾 鋼絲夾 鋼索夾緊,[WIN 五金],,https://online.carrefour.com.tw/affiliate/B048010220701,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4018855383_45918825510910_1.jpg,8.0,8.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010227201,WIM五金 台灣品牌WIN 50-1R 單排全目(CL)鏈目 機械鍊條 滾珠鍊條 滾針鍊條 滾子鍊條,[WIN],,https://online.carrefour.com.tw/affiliate/B048010227201,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/4379290287_45918825509125_1.jpg,8.0,8.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B048010181101,WIN五金 3-10mm 強力磁鐵 磁鐵 圓形磁鐵 強磁鐵 強磁磁鐵 超強磁鐵工業用磁鐵 迷你磁鐵 磁鐵圓片 釹鐵硼磁鐵,[WIN五金],,https://online.carrefour.com.tw/affiliate/B048010181101,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/54186073/24161714289_45918640949991_1.jpg,8.0,8.0,[],[日用生活 > 居家修繕 > 五金材料 > 接著劑．快乾膠．熱熔膠]
B240013106701,SKB 【0.5mm】原子筆 SB-2000藍,[SKB],,https://online.carrefour.com.tw/affiliate/B240013106701,https://online.carrefour.com.tw/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/images/scm/large/70443921/22543954471_49805025774973_1.jpg,8.0,8.0,[],[休閒娛樂 > 辦公用品．文具．節慶飾品 > 文具用品]
